id,title,region,release_date,platform,image_url
"","Air Fortress","1989-09-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1373-1.jpg"
"","Air-Sea Battle","NTSC-U																		(United States of America)","2004-11-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113388-1.jpg"
"","Airball","1987-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1026-1.jpg"
"","AirGap2020 Commemorative NES Cartridge","2020-08-24","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80873-1.jpg"
"","Airwolf","1989-06-19","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/329-1.jpg"
"","Airwolf (Kyugo)","NTSC																		(Japan)","1988-12-24","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/32177-1.jpg"
"","Akagawa Jirou no Yuurei Ressha","1991-02-08","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/26386-1.jpg"
"","Akira","NTSC																		(Japan)","1988-12-24","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/24826-1.jpg"
"","Akuma-kun: Makai no Wana","NTSC																		(Japan)","1990-02-24","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/26387-1.jpg"
"","Akumajou Densetsu","NTSC																		(Japan)","1989-12-22","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/61078-1.jpg"
"","Akumajou Special: Boku Dracula-kun","NTSC																		(Japan)","1990-10-19","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/96910-1.jpg"
"","Al Unser Jr. Turbo Racing","NTSC																		(United States of America)","1990-03-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1027-1.jpg"
"","Aladdin (Hummer Team)","NTSC																		(China)","1995-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80893-1.jpg"
"","Aladdin (Super Game)","1995-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80894-1.jpg"
"","Aladdin: The Return of Jafar","NTSC-C																		(China)","1995-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80992-1.jpg"
